max_amp,post_peak_area,pre_peak_area,label
123.0,2450.42,412.07,0.0
29.33,812.53,819.45,0.0
30.59,454.85,823.88,0.0
22.27,454.85,229.88,0.0
22.0,218.52,411.51,0.0
31.11,712.05,610.86,0.0
31.11,336.97,578.85,0.0
22.53,372.06,606.47,0.0
27.12,673.31,675.33,0.0
27.16,673.31,459.39,0.0
27.1,630.93,704.63,0.0
27.04,630.93,369.45,0.0
28.04,690.39,673.98,0.0
28.44,690.39,673.98,0.0
27.56,323.35,681.05,0.0
31.88,836.08,681.05,0.0
31.88,703.25,742.67,0.0
27.43,648.05,671.5,0.0
23.96,648.05,134.7,0.0
21.46,413.91,489.46,0.0
25.32,44.62,601.74,0.0
26.16,728.05,601.74,0.0
26.08,550.71,586.61,0.0
19.44,433.99,556.22,0.0
22.26,518.33,591.41,0.0
23.05,546.33,525.83,0.0
25.66,694.03,689.77,0.0
25.66,694.03,689.77,0.0
22.46,603.71,54.9,0.0
21.86,503.33,542.85,0.0
23.12,300.46,553.5,0.0
23.12,653.97,553.5,0.0
21.35,332.38,521.26,0.0
20.8,570.23,521.26,0.0
19.24,487.7,444.89,0.0
22.74,553.0,560.11,0.0
22.74,553.0,383.26,0.0
21.68,484.65,548.62,0.0
21.11,574.65,548.62,0.0
21.57,526.06,576.93,0.0
21.57,526.06,576.93,0.0
22.3,69.52,590.4,0.0
25.52,695.28,636.58,0.0
172.52,4092.92,1442.51,1.0
172.52,4092.92,1090.19,1.0
43.07,1143.37,1205.68,1.0
52.52,1291.75,1220.88,1.0
52.52,1291.75,743.97,1.0
49.14,798.81,904.36,1.0
89.01,1716.71,963.03,1.0
89.01,1716.71,63.53,1.0
34.96,654.86,351.16,1.0
31.78,902.83,592.33,1.0
140.27,2477.47,2208.61,1.0
140.27,3463.43,2208.61,1.0
106.12,3075.69,1099.44,1.0
106.12,3075.69,492.61,1.0
41.64,905.4,938.17,1.0
43.1,979.16,1067.12,1.0
65.61,1452.75,1035.38,1.0
65.61,1452.75,491.54,1.0
96.2,2484.29,1849.27,1.0
96.4,2484.29,1838.47,1.0
91.17,2225.28,1616.08,1.0
54.66,1279.38,1111.33,1.0
52.34,1146.31,1079.03,1.0
44.18,1146.31,1053.91,1.0
40.98,1018.22,1017.58,1.0
37.97,586.45,421.0,1.0
77.66,2277.74,1594.51,1.0
77.66,2277.74,1594.51,1.0
41.83,1020.35,1011.27,1.0
78.81,2069.93,974.11,1.0
78.81,2069.93,539.39,1.0
63.88,1384.7,1198.4,1.0
79.77,345.94,956.14,1.0
76.4,1614.32,956.14,1.0
52.39,205.96,863.51,1.0
47.28,900.86,594.8,1.0
45.24,951.9,594.8,1.0
42.55,1105.84,837.11,1.0
56.0,1025.12,1120.55,1.0
58.54,1712.91,1120.55,1.0
54.47,1073.06,835.02,1.0
43.7,1087.45,378.15,1.0
49.14,1249.53,1049.21,1.0
49.14,1249.53,1049.21,1.0
44.54,715.53,1183.03,1.0
41.81,1184.65,1183.03,1.0
48.1,710.9,1155.37,1.0
48.84,710.9,764.43,1.0
47.2,836.13,1165.8,1.0
41.54,849.17,519.25,1.0
46.36,1023.69,1207.62,1.0
50.52,1181.15,1207.62,1.0
64.82,1861.17,970.71,1.0
64.82,1861.17,157.92,1.0
47.96,1184.6,1017.12,1.0
47.96,1184.6,717.42,1.0
42.72,977.01,299.81,1.0
45.32,1112.5,1113.27,1.0
47.44,1112.5,1113.27,1.0
46.68,1099.84,1172.41,1.0
37.76,835.3,1014.85,1.0
