max_amp,post_peak_area,mean_peak_width,label
22.0,218.52,22.97,0.0
31.11,712.05,28.15,0.0
31.11,336.97,37.49,0.0
22.53,372.06,43.09,0.0
27.12,673.31,41.29,0.0
27.16,673.31,42.68,0.0
27.1,630.93,39.63,0.0
27.04,630.93,40.17,0.0
28.04,690.39,36.24,0.0
28.44,690.39,27.53,0.0
27.56,323.35,27.97,0.0
31.88,836.08,44.57,0.0
31.88,703.25,47.02,0.0
27.43,648.05,45.61,0.0
23.96,648.05,30.98,0.0
21.46,413.91,30.87,0.0
25.32,44.62,36.42,0.0
26.16,728.05,35.0,0.0
26.08,550.71,33.27,0.0
19.44,433.99,34.01,0.0
22.26,518.33,37.22,0.0
23.05,546.33,34.02,0.0
25.66,694.03,41.76,0.0
25.66,694.03,34.94,0.0
22.46,603.71,41.45,0.0
21.86,503.33,27.32,0.0
23.12,300.46,33.72,0.0
23.12,653.97,30.07,0.0
21.35,332.38,31.42,0.0
20.8,570.23,39.35,0.0
19.24,487.7,34.02,0.0
22.74,553.0,34.46,0.0
22.74,553.0,44.11,0.0
21.68,484.65,44.2,0.0
21.11,574.65,40.67,0.0
52.52,1291.75,23.77,1.0
49.14,798.81,23.96,1.0
89.01,1716.71,16.25,1.0
89.01,1716.71,23.84,1.0
34.96,654.86,26.54,1.0
31.78,902.83,16.59,1.0
140.27,2477.47,14.85,1.0
140.27,3463.43,14.97,1.0
106.12,3075.69,23.07,1.0
106.12,3075.69,21.16,1.0
41.64,905.4,22.38,1.0
43.1,979.16,26.19,1.0
65.61,1452.75,21.22,1.0
65.61,1452.75,25.33,1.0
96.2,2484.29,25.15,1.0
96.4,2484.29,14.11,1.0
91.17,2225.28,20.9,1.0
54.66,1279.38,35.43,1.0
52.34,1146.31,37.19,1.0
44.18,1146.31,36.79,1.0
40.98,1018.22,31.64,1.0
37.97,586.45,24.4,1.0
77.66,2277.74,23.51,1.0
77.66,2277.74,19.53,1.0
41.83,1020.35,15.68,1.0
78.81,2069.93,14.55,1.0
78.81,2069.93,18.87,1.0
63.88,1384.7,21.41,1.0
79.77,345.94,16.54,1.0
76.4,1614.32,16.04,1.0
52.39,205.96,21.4,1.0
47.28,900.86,21.6,1.0
45.24,951.9,19.22,1.0
42.55,1105.84,22.74,1.0
56.0,1025.12,23.42,1.0
58.54,1712.91,24.65,1.0
54.47,1073.06,34.94,1.0
43.7,1087.45,32.0,1.0
49.14,1249.53,30.2,1.0
49.14,1249.53,35.61,1.0
44.54,715.53,23.78,1.0
41.81,1184.65,27.09,1.0
48.1,710.9,38.14,1.0
48.84,710.9,36.62,1.0
47.2,836.13,21.33,1.0
41.54,849.17,17.52,1.0
46.36,1023.69,20.43,1.0
50.52,1181.15,30.83,1.0
64.82,1861.17,19.79,1.0
64.82,1861.17,21.19,1.0
47.96,1184.6,36.1,1.0
47.96,1184.6,37.71,1.0
42.72,977.01,28.04,1.0
